0	8030
稲	0679
稼	067A
稿	067B
積	067C
穏	067D
穣	067E
穫	067F
穴	0680
究	0681
空	0682
穿	0683
突	0684
窃	0685
窒	0686
窓	0687
窟	0688
窪	0689
窮	068A
立	068B
竜	068C
章	068D
童	068E
端	068F
競	0690
竿	0691
笑	0692
笛	0693
符	0694
第	0695
筆	0696
等	0697
筋	0698
筒	0699
答	069A
策	069B
箇	069C
箋	069D
算	069E
管	069F
箱	06A0
節	06A1
範	06A2
築	06A3
簡	06A4
簿	06A5
籍	06A6
寵	06A7
米	06A8
粉	06A9
粋	06AA
粗	06AB
粘	06AC
粧	06AD
精	06AE
糖	06AF
糞	06B0
糸	06B1
系	06B2
糾	06B3
紀	06B4
約	06B5
紅	06B6
紆	06B7
紊	06B8
紋	06B9
納	06BA
紐	06BB
純	06BC
紙	06BD
級	06BE
紛	06BF
素	06C0
索	06C1
紫	06C2
細	06C3
紳	06C4
紹	06C5
終	06C6
組	06C7
絆	06C8
経	06C9
結	06CA
絞	06CB
絡	06CC
給	06CD
絨	06CE
統	06CF
絵	06D0
絶	06D1
継	06D2
続	06D3
維	06D4
網	06D5
綻	06D6
綿	06D7
緊	06D8
総	06D9
緑	06DA
緒	06DB
線	06DC
締	06DD
編	06DE
緩	06DF
緯	06E0
練	06E1
縁	06E2
縄	06E3
縛	06E4
縦	06E5
縫	06E6
縮	06E7
績	06E8
繁	06E9
繊	06EA
繋	06EB
繍	06EC
織	06ED
繰	06EE
缶	06EF
罪	06F0
置	06F1
罰	06F2
署	06F3
罵	06F4
羅	06F5
羊	06F6
美	06F7
群	06F8
羨	06F9
義	06FA
羽	06FB
習	06FC
翼	06FD
老	06FE
考	06FF
者	0700
耐	0701
耕	0702
耗	0703
耳	0704
耽	0705
聖	0706
聞	0707
聡	0708
聴	0709
職	070A
肉	070B
肋	070C
肌	070D
肛	070E
肝	070F
股	0710
肢	0711
肥	0712
肩	0713
肪	0714
肯	0715
育	0716
肺	0717
胃	0718
胆	0719
背	071A
胞	071B
胴	071C
胸	071D
能	071E
脂	071F
脅	0720
脆	0721
脇	0722
脈	0723
脚	0724
脱	0725
脳	0726
腎	0727
腐	0728
腕	0729
腫	072A
腰	072B
腸	072C
腹	072D
腺	072E
膚	072F
膝	0730
膣	0731
膨	0732
臆	0733
臓	0734
臨	0735
自	0736
臭	0737
至	0738
致	0739
興	073A
舌	073B
舎	073C
舐	073D
舗	073E
舞	073F
航	0740
般	0741
舵	0742
舶	0743
舷	0744
船	0745
艇	0746
艦	0747
良	0748
色	0749
芝	074A
芯	074B
花	074C
芳	074D
芸	074E
芽	074F
苛	0750
若	0751
苦	0752
英	0753
茂	0754
茎	0755
茶	0756
草	0757
荒	0758
荘	0759
荷	075A
莫	075B
菌	075C
菓	075D
菜	075E
華	075F
萎	0760
落	0761
葉	0762
著	0763
葛	0764
葬	0765
蒙	0766
蒸	0767
蓄	0768
蔑	0769
蔓	076A
蔵	076B
蕩	076C
薄	076D
薦	076E
薬	076F
藤	0770
蘇	0771
虎	0772
虐	0773
虚	0774
虜	0775
虫	0776
虹	0777
蚊	0778
蛍	0779
蛙	077A
蛮	077B
蜂	077C
蝕	077D
融	077E
血	077F
衆	0780
行	0781
術	0782
街	0783
衛	0784
衝	0785
衡	0786
衣	0787
表	0788
衰	0789
袈	078A
袋	078B
被	078C
裁	078D
裂	078E
装	078F
裏	0790
裕	0791
補	0792
裟	0793
裸	0794
製	0795
裾	0796
複	0797
褒	0798
褻	0799
襟	079A
襲	079B
西	079C
要	079D
覆	079E
覇	079F
見	07A0
規	07A1
視	07A2
覗	07A3
覚	07A4
覧	07A5
親	07A6
観	07A7
角	07A8
解	07A9
触	07AA
言	07AB
計	07AC
訊	07AD
討	07AE
訓	07AF
託	07B0
記	07B1
訛	07B2
訟	07B3
訣	07B4
訪	07B5
設	07B6
許	07B7
訳	07B8
訴	07B9
診	07BA
証	07BB
詐	07BC
評	07BD
詞	07BE
詠	07BF
試	07C0
詩	07C1
詫	07C2
詮	07C3
詰	07C4
話	07C5
該	07C6
詳	07C7
誇	07C8
誉	07C9
誌	07CA
認	07CB
誓	07CC
誕	07CD
誘	07CE
語	07CF
誠	07D0
誤	07D1
説	07D2
読	07D3
誰	07D4
課	07D5
誹	07D6
調	07D7
談	07D8
請	07D9
論	07DA
諦	07DB
諸	07DC
諾	07DD
謀	07DE
謎	07DF
謗	07E0
謙	07E1
講	07E2
謝	07E3
謳	07E4
謹	07E5
識	07E6
警	07E7
議	07E8
譲	07E9
護	07EA
讐	07EB
谷	07EC
豊	07ED
豚	07EE
象	07EF
豪	07F0
豹	07F1
貌	07F2
貞	07F3
負	07F4
財	07F5
貢	07F6
貧	07F7
貨	07F8
販	07F9
貪	07FA
貫	07FB
責	07FC
貯	07FD
貰	07FE
貴	07FF
貶	0800
買	0801
貸	0802
費	0803
貼	0804
貿	0805
賀	0806
賂	0807
賃	0808
賄	0809
資	080A
賊	080B
賑	080C
賛	080D
賜	080E
賞	080F
賠	0810
賢	0811
質	0812
賭	0813
購	0814
贅	0815
贈	0816
赤	0817
赦	0818
走	0819
起	081A
超	081B
越	081C
趣	081D
足	081E
距	081F
跡	0820
跨	0821
路	0822
跳	0823
践	0824
踊	0825
踏	0826
蹴	0827
躁	0828
躇	0829
躊	082A
躍	082B
身	082C
車	082D
軌	082E
軍	082F
軒	0830
軟	0831
転	0832
軽	0833
較	0834
載	0835
輝	0836
輩	0837
輪	0838
輸	0839
