0	8030
暇	030a
暗	030b
暴	030c
曲	030d
更	030e
書	030f
曹	0310
替	0311
最	0312
月	0313
有	0314
服	0315
朗	0316
望	0317
朝	0318
期	0319
木	031a
未	031b
末	031c
本	031d
札	031e
杖	031f
束	0320
来	0321
杯	0322
東	0323
板	0324
林	0325
枚	0326
果	0327
枠	0328
柄	0329
査	032a
根	032b
格	032c
案	032d
桟	032e
械	032f
棒	0330
植	0331
業	0332
極	0333
楽	0334
構	0335
様	0336
標	0337
模	0338
権	0339
横	033a
橋	033b
機	033c
欠	033d
次	033e
欧	033f
欲	0340
欺	0341
歓	0342
止	0343
正	0344
武	0345
歩	0346
歯	0347
歳	0348
死	0349
残	034a
殴	034b
段	034c
殺	034d
殿	034e
母	034f
毎	0350
氏	0351
民	0352
気	0353
水	0354
永	0355
求	0356
汚	0357
決	0358
沈	0359
没	035a
治	035b
況	035c
法	035d
波	035e
泣	035f
泥	0360
注	0361
洋	0362
洗	0363
活	0364
派	0365
流	0366
浪	0367
浴	0368
海	0369
浸	036a
消	036b
深	036c
混	036d
添	036e
済	036f
渉	0370
減	0371
渡	0372
港	0373
湧	0374
湿	0375
満	0376
準	0377
溜	0378
溺	0379
滅	037a
漁	037b
演	037c
潔	037d
潰	037e
澄	037f
激	0380
火	0381
災	0382
炎	0383
点	0384
為	0385
烈	0386
無	0387
焦	0388
然	0389
焼	038a
熱	038b
燃	038c
爆	038d
父	038e
片	038f
版	0390
牧	0391
物	0392
特	0393
犬	0394
犯	0395
状	0396
狐	0397
狙	0398
独	0399
狼	039a
獄	039b
獲	039c
玄	039d
率	039e
玉	039f
王	03a0
現	03a1
理	03a2
璧	03a3
瓶	03a4
甘	03a5
生	03a6
産	03a7
甥	03a8
用	03a9
由	03aa
甲	03ab
申	03ac
男	03ad
画	03ae
界	03af
畑	03b0
留	03b1
畜	03b2
番	03b3
疫	03b4
病	03b5
痛	03b6
療	03b7
発	03b8
登	03b9
白	03ba
的	03bb
皆	03bc
皮	03bd
益	03be
盗	03bf
盛	03c0
監	03c1
目	03c2
直	03c3
相	03c4
看	03c5
真	03c6
眠	03c7
着	03c8
睡	03c9
督	03ca
矢	03cb
知	03cc
石	03cd
砲	03ce
破	03cf
確	03d0
示	03d1
礼	03d2
社	03d3
神	03d4
票	03d5
禁	03d6
私	03d7
科	03d8
秒	03d9
秘	03da
称	03db
移	03dc
程	03dd
税	03de
種	03df
稼	03e0
積	03e1
穴	03e2
空	03e3
突	03e4
窓	03e5
窮	03e6
立	03e7
端	03e8
競	03e9
竿	03ea
笑	03eb
第	03ec
等	03ed
筋	03ee
答	03ef
算	03f0
管	03f1
箱	03f2
範	03f3
築	03f4
簡	03f5
米	03f6
粉	03f7
精	03f8
系	03f9
約	03fa
純	03fb
紙	03fc
級	03fd
紛	03fe
素	03ff
細	0400
紳	0401
紹	0402
終	0403
組	0404
経	0405
結	0406
絡	0407
給	0408
統	0409
絶	040a
継	040b
続	040c
網	040d
綺	040e
総	040f
緑	0410
緒	0411
線	0412
練	0413
縁	0414
縄	0415
縛	0416
縦	0417
績	0418
織	0419
缶	041a
罪	041b
置	041c
署	041d
羊	041e
美	041f
義	0420
羽	0421
習	0422
老	0423
考	0424
者	0425
耐	0426
耳	0427
聞	0428
職	0429
肝	042a
育	042b
背	042c
胸	042d
能	042e
脅	042f
脇	0430
脱	0431
腐	0432
腕	0433
腰	0434
腹	0435
臣	0436
自	0437
臭	0438
興	0439
舗	043a
舞	043b
航	043c
船	043d
良	043e
色	043f
芸	0440
若	0441
苦	0442
英	0443
茂	0444
茶	0445
草	0446
荷	0447
華	0448
落	0449
葉	044a
葬	044b
蒸	044c
薬	044d
虫	044e
蛮	044f
蠅	0450
衆	0451
行	0452
術	0453
街	0454
衛	0455
表	0456
袋	0457
被	0458
裂	0459
装	045a
裏	045b
補	045c
裸	045d
複	045e
襲	045f
要	0460
見	0461
規	0462
視	0463
覗	0464
覚	0465
親	0466
観	0467
角	0468
解	0469
触	046a
言	046b
計	046c
訊	046d
記	046e
訪	046f
設	0470
許	0471
訳	0472
証	0473
詐	0474
評	0475
試	0476
詰	0477
話	0478
詳	0479
誌	047a
認	047b
誘	047c
語	047d
誠	047e
誤	047f
説	0480
読	0481
誰	0482
調	0483
談	0484
請	0485
諦	0486
謀	0487
謝	0488
識	0489
警	048a
議	048b
護	048c
象	048d
豪	048e
負	048f
貧	0490
販	0491
貰	0492
貴	0493
買	0494
貸	0495
費	0496
資	0497
賑	0498
賛	0499
賞	049a
質	049b
購	049c
贈	049d
赤	049e
赦	049f
走	04a0
起	04a1
超	04a2
越	04a3
趣	04a4
足	04a5
距	04a6
跡	04a7
路	04a8
踏	04a9
躍	04aa
身	04ab
車	04ac
軌	04ad
軍	04ae
転	04af
軽	04b0
載	04b1
輪	04b2
輸	04b3
辞	04b4
辺	04b5
込	04b6
迎	04b7
近	04b8
返	04b9
迷	04ba
追	04bb
退	04bc
送	04bd
逃	04be
逆	04bf
通	04c0
逝	04c1
速	04c2
連	04c3
逮	04c4
進	04c5
遅	04c6
遊	04c7
運	04c8
過	04c9
道	04ca
達	04cb
違	04cc
遠	04cd
遣	04ce
適	04cf
選	04d0
邪	04d1
邸	04d2
郎	04d3
部	04d4
配	04d5
酒	04d6
酔	04d7
酬	04d8
重	04d9
野	04da
量	04db
金	04dc
釣	04dd
銀	04de
銃	04df
録	04e0
鍵	04e1
鎖	04e2
鎮	04e3
鑑	04e4
長	04e5
門	04e6
閉	04e7
開	04e8
間	04e9
関	04ea
闘	04eb
防	04ec
降	04ed
限	04ee
院	04ef
陣	04f0
除	04f1
陪	04f2
陰	04f3
険	04f4
隊	04f5
階	04f6
随	04f7
隙	04f8
際	04f9
隠	04fa
集	04fb
雇	04fc
雑	04fd
離	04fe
難	04ff
雨	0500
電	0501
静	0502
非	0503
面	0504
革	0505
音	0506
響	0507
頃	0508
順	0509
頑	050a
頭	050b
頼	050c
題	050d
額	050e
顔	050f
願	0510
類	0511
風	0512
飛	0513
食	0514
飲	0515
飼	0516
飽	0517
飾	0518
首	0519
馬	051a
駄	051b
駆	051c
駐	051d
騒	051e
験	051f
騙	0520
驚	0521
骨	0522
高	0523
魂	0524
魔	0525
魚	0526
鳥	0527
鳩	0528
鳴	0529
鶏	052a
鹿	052b
麗	052c
麻	052d
黒	052e
黙	052f
鼻	0530
Ａ	0531
Ｂ	0532
Ｄ	0533
Ｅ	0534
Ｆ	0535
Ｇ	0536
Ｈ	0537
Ｋ	0538
Ｌ	0539
Ｍ	053a
Ｎ	053b
Ｏ	053c
Ｐ	053d
Ｓ	053e
Ｔ	053f
Ｘ	0540
？	0541
！	0542
／	0543
～	0544
